TF,Target
ETS1,MYL6B
ETS1,RPL22
ETS1,SLC25A4
ETS1,TCEAL1
ETS1,USP3
ETS1,PMEL
ETS1,PDIA4
ETS1,POLR2C
ETS1,PPFIA4
ETS1,PEBP1
ETS1,RIBC2
ETS1,ING2
ETS1,IFT74
ETS1,LEMD3
ETS1,EIF1AY
ETS1,PEX7
ETS1,PDZD8
ETS1,PSMB7
ETS1,CNNM1
ETS1,PRC1
ETS1,THOC6
ETS1,ABCA11P
ETS1,CNOT8
ETS1,CSGALNACT1
ETS1,PCCB
ETS1,MICU1
ETS1,NGLY1
ETS1,NUTF2
ETS1,WDYHV1
ETS1,GPD1L
ETS1,RARB
ETS1,USP33
ETS1,PIP4K2C
ETS1,EPHB4
